ISPC,DEC,name,operator,city,device,country,country_ch
4-024-0,8384,AWCC,AWCC,,,Afghanistan,阿富汗
4-024-1,8385,AWCC,AWCC,,,Afghanistan,阿富汗
4-024-2,8386,AWCC,AWCC,,,Afghanistan,阿富汗
4-024-3,8387,Afghan Telecom,Afghan Telecom,,,Afghanistan,阿富汗
4-024-4,8388,Kamss3-TV,MTN,,,Afghanistan,阿富汗
4-024-5,8389,Hemss1-Herat,MTN,Herat,,Afghanistan,阿富汗
4-024-6,8390,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-024-7,8391,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-025-0,8392,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-025-1,8393,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-025-2,8394,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-025-3,8395,AWCC,AWCC,,,Afghanistan,阿富汗
4-025-4,8396,AWCC,AWCC,,,Afghanistan,阿富汗
4-025-5,8397,Afghan Telecom,Afghan Telecom,,,Afghanistan,阿富汗
4-025-6,8398,Afghan Telecom,Afghan Telecom,,,Afghanistan,阿富汗
4-025-7,8399,Etisalat Afghanistan,Etisalat International,,,Afghanistan,阿富汗
4-136-0,9280,Kabul SMSC,AWCC,Kabul,MSC,Afghanistan,阿富汗
4-136-1,9281,KBLMSS,AWCC,,MSS,Afghanistan,阿富汗
4-136-2,9282,KBLMGW,AWCC,,MGW,Afghanistan,阿富汗
4-136-3,9283,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-136-4,9284,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-136-5,9285,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-136-6,9286,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-136-7,9287,Roshan,TDCA (dba Roshan),,,Afghanistan,阿富汗
4-137-0,9288,MSC-HRT,Etisalat,,MSC,Afghanistan,阿富汗
4-137-1,9289,MSC-M2R,Etisalat,,MSC,Afghanistan,阿富汗
4-137-2,9290,MSC-JLD,Etisalat,,MSC,Afghanistan,阿富汗
4-137-3,9291,MSC-KDR,Etisalat,,MSC,Afghanistan,阿富汗
4-137-4,9292,KBL1 MSC,Etisalat,,MSC,Afghanistan,阿富汗
