opc,dpc,count
4-121-0,4-121-4,56290
4-121-4,4-128-7,103977
4-121-4,4-177-1,16582
4-121-4,4-178-3,16344
4-121-4,4-183-3,19
4-121-4,4-183-4,28
4-122-0,2-057-6,7304
4-122-0,4-177-1,2705184
4-122-0,4-178-3,2343293
4-127-0,2-009-0,1680182
4-127-0,4-121-0,5
4-127-0,4-128-7,9
4-127-0,4-177-1,97276
4-127-0,4-178-3,98642
4-127-1,2-009-1,1129108
4-127-1,4-121-0,827
4-127-1,4-128-7,390
4-127-1,4-177-1,64137
4-127-1,4-178-3,63969
4-127-1,4-183-3,290
4-127-1,4-183-4,280
4-127-2,2-009-0,624300
4-127-2,4-121-0,37
4-127-2,4-177-1,18613
4-127-2,4-178-3,18909
4-128-6,4-127-0,1141658
4-128-7,2-009-0,4370
4-128-7,2-009-1,4299
4-128-7,4-121-0,64
4-128-7,4-121-4,98471
4-128-7,4-183-3,210
4-128-7,4-183-4,213
